Image,Mask
D:\Data\kits19\kits19tumorsegmentation/Image/0_203.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_203.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_204.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_204.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_207.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_207.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_209.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_209.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_214.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_214.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_217.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_217.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_218.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_218.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_220.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_220.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_225.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_225.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_240.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_240.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/0_246.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/0_246.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/100_144.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/100_144.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/100_145.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/100_145.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/100_147.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/100_147.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_11.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_11.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_22.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_22.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_37.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_37.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_39.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_39.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_48.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_48.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_52.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_52.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/101_7.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/101_7.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_12.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_12.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_16.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_16.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_20.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_20.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_24.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_24.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_30.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_30.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_45.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_45.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_55.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_55.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_57.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_57.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_64.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_64.bmp
D:\Data\kits19\kits19tumorsegmentation/Image/102_73.bmp,D:\Data\kits19\kits19tumorsegmentation/Mask/102_73.bmp
