Image,Mask
D:\Data\kits19\kits19segmentationstep1/Image/0_13.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_13.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_14.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_14.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_19.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_19.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_20.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_20.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_21.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_21.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_22.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_22.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_25.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_25.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_26.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_26.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_27.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_27.npy
D:\Data\kits19\kits19segmentationstep1/Image/0_28.npy,D:\Data\kits19\kits19segmentationstep1/Mask/0_28.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_13.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_13.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_14.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_14.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_15.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_15.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_16.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_16.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_17.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_17.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_19.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_19.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_20.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_20.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_21.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_21.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_22.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_22.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_23.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_23.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_25.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_25.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_26.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_26.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_27.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_27.npy
D:\Data\kits19\kits19segmentationstep1/Image/100_28.npy,D:\Data\kits19\kits19segmentationstep1/Mask/100_28.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_19.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_19.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_20.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_20.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_21.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_21.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_22.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_22.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_23.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_23.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_25.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_25.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_26.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_26.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_27.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_27.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_28.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_28.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_29.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_29.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_31.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_31.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_32.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_32.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_33.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_33.npy
D:\Data\kits19\kits19segmentationstep1/Image/101_34.npy,D:\Data\kits19\kits19segmentationstep1/Mask/101_34.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_13.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_13.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_14.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_14.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_15.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_15.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_16.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_16.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_19.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_19.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_20.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_20.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_21.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_21.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_22.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_22.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_25.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_25.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_26.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_26.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_27.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_27.npy
D:\Data\kits19\kits19segmentationstep1/Image/102_28.npy,D:\Data\kits19\kits19segmentationstep1/Mask/102_28.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_12.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_12.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_13.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_13.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_14.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_14.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_15.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_15.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_16.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_16.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_17.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_17.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_18.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_18.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_19.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_19.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_20.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_20.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_21.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_21.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_22.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_22.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_23.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_23.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_25.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_25.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_26.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_26.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_27.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_27.npy
D:\Data\kits19\kits19segmentationstep1/Image/103_28.npy,D:\Data\kits19\kits19segmentationstep1/Mask/103_28.npy
D:\Data\kits19\kits19segmentationstep1/Image/104_12.npy,D:\Data\kits19\kits19segmentationstep1/Mask/104_12.npy
D:\Data\kits19\kits19segmentationstep1/Image/104_13.npy,D:\Data\kits19\kits19segmentationstep1/Mask/104_13.npy
