Image,Mask
D:\Data\KiTS\kits19segmentation/Image/0_100.npy,D:\Data\KiTS\kits19segmentation/Mask/0_100.npy
D:\Data\KiTS\kits19segmentation/Image/0_127.npy,D:\Data\KiTS\kits19segmentation/Mask/0_127.npy
D:\Data\KiTS\kits19segmentation/Image/0_128.npy,D:\Data\KiTS\kits19segmentation/Mask/0_128.npy
D:\Data\KiTS\kits19segmentation/Image/0_129.npy,D:\Data\KiTS\kits19segmentation/Mask/0_129.npy
D:\Data\KiTS\kits19segmentation/Image/0_130.npy,D:\Data\KiTS\kits19segmentation/Mask/0_130.npy
D:\Data\KiTS\kits19segmentation/Image/0_133.npy,D:\Data\KiTS\kits19segmentation/Mask/0_133.npy
D:\Data\KiTS\kits19segmentation/Image/0_134.npy,D:\Data\KiTS\kits19segmentation/Mask/0_134.npy
D:\Data\KiTS\kits19segmentation/Image/0_135.npy,D:\Data\KiTS\kits19segmentation/Mask/0_135.npy
D:\Data\KiTS\kits19segmentation/Image/0_136.npy,D:\Data\KiTS\kits19segmentation/Mask/0_136.npy
D:\Data\KiTS\kits19segmentation/Image/0_163.npy,D:\Data\KiTS\kits19segmentation/Mask/0_163.npy
D:\Data\KiTS\kits19segmentation/Image/0_164.npy,D:\Data\KiTS\kits19segmentation/Mask/0_164.npy
D:\Data\KiTS\kits19segmentation/Image/0_165.npy,D:\Data\KiTS\kits19segmentation/Mask/0_165.npy
D:\Data\KiTS\kits19segmentation/Image/0_166.npy,D:\Data\KiTS\kits19segmentation/Mask/0_166.npy
D:\Data\KiTS\kits19segmentation/Image/0_169.npy,D:\Data\KiTS\kits19segmentation/Mask/0_169.npy
D:\Data\KiTS\kits19segmentation/Image/0_170.npy,D:\Data\KiTS\kits19segmentation/Mask/0_170.npy
D:\Data\KiTS\kits19segmentation/Image/0_171.npy,D:\Data\KiTS\kits19segmentation/Mask/0_171.npy
D:\Data\KiTS\kits19segmentation/Image/0_172.npy,D:\Data\KiTS\kits19segmentation/Mask/0_172.npy
D:\Data\KiTS\kits19segmentation/Image/0_199.npy,D:\Data\KiTS\kits19segmentation/Mask/0_199.npy
D:\Data\KiTS\kits19segmentation/Image/0_200.npy,D:\Data\KiTS\kits19segmentation/Mask/0_200.npy
D:\Data\KiTS\kits19segmentation/Image/0_201.npy,D:\Data\KiTS\kits19segmentation/Mask/0_201.npy
D:\Data\KiTS\kits19segmentation/Image/0_202.npy,D:\Data\KiTS\kits19segmentation/Mask/0_202.npy
D:\Data\KiTS\kits19segmentation/Image/0_205.npy,D:\Data\KiTS\kits19segmentation/Mask/0_205.npy
D:\Data\KiTS\kits19segmentation/Image/0_206.npy,D:\Data\KiTS\kits19segmentation/Mask/0_206.npy
D:\Data\KiTS\kits19segmentation/Image/0_207.npy,D:\Data\KiTS\kits19segmentation/Mask/0_207.npy
D:\Data\KiTS\kits19segmentation/Image/0_208.npy,D:\Data\KiTS\kits19segmentation/Mask/0_208.npy
D:\Data\KiTS\kits19segmentation/Image/0_21.npy,D:\Data\KiTS\kits19segmentation/Mask/0_21.npy
D:\Data\KiTS\kits19segmentation/Image/0_22.npy,D:\Data\KiTS\kits19segmentation/Mask/0_22.npy
D:\Data\KiTS\kits19segmentation/Image/0_235.npy,D:\Data\KiTS\kits19segmentation/Mask/0_235.npy
D:\Data\KiTS\kits19segmentation/Image/0_236.npy,D:\Data\KiTS\kits19segmentation/Mask/0_236.npy
D:\Data\KiTS\kits19segmentation/Image/0_237.npy,D:\Data\KiTS\kits19segmentation/Mask/0_237.npy
D:\Data\KiTS\kits19segmentation/Image/0_238.npy,D:\Data\KiTS\kits19segmentation/Mask/0_238.npy
D:\Data\KiTS\kits19segmentation/Image/0_241.npy,D:\Data\KiTS\kits19segmentation/Mask/0_241.npy
D:\Data\KiTS\kits19segmentation/Image/0_242.npy,D:\Data\KiTS\kits19segmentation/Mask/0_242.npy
D:\Data\KiTS\kits19segmentation/Image/0_243.npy,D:\Data\KiTS\kits19segmentation/Mask/0_243.npy
D:\Data\KiTS\kits19segmentation/Image/0_244.npy,D:\Data\KiTS\kits19segmentation/Mask/0_244.npy
D:\Data\KiTS\kits19segmentation/Image/0_27.npy,D:\Data\KiTS\kits19segmentation/Mask/0_27.npy
D:\Data\KiTS\kits19segmentation/Image/0_271.npy,D:\Data\KiTS\kits19segmentation/Mask/0_271.npy
D:\Data\KiTS\kits19segmentation/Image/0_272.npy,D:\Data\KiTS\kits19segmentation/Mask/0_272.npy
D:\Data\KiTS\kits19segmentation/Image/0_273.npy,D:\Data\KiTS\kits19segmentation/Mask/0_273.npy
D:\Data\KiTS\kits19segmentation/Image/0_274.npy,D:\Data\KiTS\kits19segmentation/Mask/0_274.npy
D:\Data\KiTS\kits19segmentation/Image/0_277.npy,D:\Data\KiTS\kits19segmentation/Mask/0_277.npy
D:\Data\KiTS\kits19segmentation/Image/0_278.npy,D:\Data\KiTS\kits19segmentation/Mask/0_278.npy
D:\Data\KiTS\kits19segmentation/Image/0_279.npy,D:\Data\KiTS\kits19segmentation/Mask/0_279.npy
D:\Data\KiTS\kits19segmentation/Image/0_28.npy,D:\Data\KiTS\kits19segmentation/Mask/0_28.npy
D:\Data\KiTS\kits19segmentation/Image/0_280.npy,D:\Data\KiTS\kits19segmentation/Mask/0_280.npy
D:\Data\KiTS\kits19segmentation/Image/0_307.npy,D:\Data\KiTS\kits19segmentation/Mask/0_307.npy
D:\Data\KiTS\kits19segmentation/Image/0_308.npy,D:\Data\KiTS\kits19segmentation/Mask/0_308.npy
D:\Data\KiTS\kits19segmentation/Image/0_309.npy,D:\Data\KiTS\kits19segmentation/Mask/0_309.npy
D:\Data\KiTS\kits19segmentation/Image/0_310.npy,D:\Data\KiTS\kits19segmentation/Mask/0_310.npy
D:\Data\KiTS\kits19segmentation/Image/0_313.npy,D:\Data\KiTS\kits19segmentation/Mask/0_313.npy
D:\Data\KiTS\kits19segmentation/Image/0_314.npy,D:\Data\KiTS\kits19segmentation/Mask/0_314.npy
D:\Data\KiTS\kits19segmentation/Image/0_315.npy,D:\Data\KiTS\kits19segmentation/Mask/0_315.npy
D:\Data\KiTS\kits19segmentation/Image/0_316.npy,D:\Data\KiTS\kits19segmentation/Mask/0_316.npy
D:\Data\KiTS\kits19segmentation/Image/0_343.npy,D:\Data\KiTS\kits19segmentation/Mask/0_343.npy
D:\Data\KiTS\kits19segmentation/Image/0_344.npy,D:\Data\KiTS\kits19segmentation/Mask/0_344.npy
D:\Data\KiTS\kits19segmentation/Image/0_345.npy,D:\Data\KiTS\kits19segmentation/Mask/0_345.npy
D:\Data\KiTS\kits19segmentation/Image/0_346.npy,D:\Data\KiTS\kits19segmentation/Mask/0_346.npy
D:\Data\KiTS\kits19segmentation/Image/0_349.npy,D:\Data\KiTS\kits19segmentation/Mask/0_349.npy
D:\Data\KiTS\kits19segmentation/Image/0_350.npy,D:\Data\KiTS\kits19segmentation/Mask/0_350.npy
D:\Data\KiTS\kits19segmentation/Image/0_351.npy,D:\Data\KiTS\kits19segmentation/Mask/0_351.npy
D:\Data\KiTS\kits19segmentation/Image/0_352.npy,D:\Data\KiTS\kits19segmentation/Mask/0_352.npy
D:\Data\KiTS\kits19segmentation/Image/0_379.npy,D:\Data\KiTS\kits19segmentation/Mask/0_379.npy
D:\Data\KiTS\kits19segmentation/Image/0_380.npy,D:\Data\KiTS\kits19segmentation/Mask/0_380.npy
D:\Data\KiTS\kits19segmentation/Image/0_381.npy,D:\Data\KiTS\kits19segmentation/Mask/0_381.npy
D:\Data\KiTS\kits19segmentation/Image/0_382.npy,D:\Data\KiTS\kits19segmentation/Mask/0_382.npy
D:\Data\KiTS\kits19segmentation/Image/0_385.npy,D:\Data\KiTS\kits19segmentation/Mask/0_385.npy
D:\Data\KiTS\kits19segmentation/Image/0_386.npy,D:\Data\KiTS\kits19segmentation/Mask/0_386.npy
D:\Data\KiTS\kits19segmentation/Image/0_387.npy,D:\Data\KiTS\kits19segmentation/Mask/0_387.npy
D:\Data\KiTS\kits19segmentation/Image/0_388.npy,D:\Data\KiTS\kits19segmentation/Mask/0_388.npy
D:\Data\KiTS\kits19segmentation/Image/0_415.npy,D:\Data\KiTS\kits19segmentation/Mask/0_415.npy
D:\Data\KiTS\kits19segmentation/Image/0_416.npy,D:\Data\KiTS\kits19segmentation/Mask/0_416.npy
D:\Data\KiTS\kits19segmentation/Image/0_417.npy,D:\Data\KiTS\kits19segmentation/Mask/0_417.npy
D:\Data\KiTS\kits19segmentation/Image/0_418.npy,D:\Data\KiTS\kits19segmentation/Mask/0_418.npy
D:\Data\KiTS\kits19segmentation/Image/0_421.npy,D:\Data\KiTS\kits19segmentation/Mask/0_421.npy
D:\Data\KiTS\kits19segmentation/Image/0_422.npy,D:\Data\KiTS\kits19segmentation/Mask/0_422.npy
D:\Data\KiTS\kits19segmentation/Image/0_423.npy,D:\Data\KiTS\kits19segmentation/Mask/0_423.npy
D:\Data\KiTS\kits19segmentation/Image/0_424.npy,D:\Data\KiTS\kits19segmentation/Mask/0_424.npy
D:\Data\KiTS\kits19segmentation/Image/0_451.npy,D:\Data\KiTS\kits19segmentation/Mask/0_451.npy
D:\Data\KiTS\kits19segmentation/Image/0_452.npy,D:\Data\KiTS\kits19segmentation/Mask/0_452.npy
D:\Data\KiTS\kits19segmentation/Image/0_453.npy,D:\Data\KiTS\kits19segmentation/Mask/0_453.npy
D:\Data\KiTS\kits19segmentation/Image/0_454.npy,D:\Data\KiTS\kits19segmentation/Mask/0_454.npy
D:\Data\KiTS\kits19segmentation/Image/0_457.npy,D:\Data\KiTS\kits19segmentation/Mask/0_457.npy
