Image,Mask
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_127.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_127.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_128.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_128.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_133.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_133.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_134.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_134.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_19.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_19.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_20.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_20.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_25.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_25.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_26.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_26.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_55.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_55.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_56.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_56.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_61.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_61.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_62.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_62.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_91.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_91.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_92.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_92.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_97.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_97.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/0_98.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/0_98.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_13.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_13.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_14.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_14.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_19.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_19.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_20.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_20.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_49.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_49.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_50.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_50.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_55.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_55.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/100_56.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/100_56.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_19.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_19.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_20.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_20.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_25.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_25.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_26.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_26.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_55.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_55.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_56.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_56.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_61.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_61.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_62.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_62.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_91.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_91.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_92.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_92.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_97.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_97.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/101_98.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/101_98.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_121.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_121.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_122.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_122.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_123.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_123.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_127.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_127.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_128.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_128.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_129.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_129.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_13.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_13.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_133.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_133.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_134.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_134.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_135.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_135.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_14.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_14.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_15.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_15.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_19.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_19.npy
D:\Data\kits19\kits19tumor3dsegmentation/Image/102_20.npy,D:\Data\kits19\kits19tumor3dsegmentation/Mask/102_20.npy
