Image,Mask
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_202.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_202.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_203.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_203.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_204.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_204.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_205.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_205.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_206.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_206.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_207.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_207.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_208.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_208.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_209.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_209.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_210.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_210.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_211.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_211.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_212.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_212.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_213.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_213.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_214.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_214.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_215.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_215.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_216.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_216.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_217.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_217.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_218.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_218.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_219.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_219.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_220.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_220.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_221.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_221.bmp
E:\junqiangchen\data\kits19\kits19tumorsegmentation/Image/0_222.bmp,E:\junqiangchen\data\kits19\kits19tumorsegmentation/Mask/0_222.bmp
